iter	Passed	Remaining
414	3132	4416
415	3140	4408
416	3146	4399
417	3154	4391
418	3161	4384
419	3168	4374
420	3174	4366
421	3182	4358
422	3188	4349
423	3197	4344
424	3204	4335
425	3210	4325
426	3218	4318
427	3225	4311
428	3233	4303
429	3239	4294
430	3245	4285
431	3253	4277
432	3261	4271
433	3269	4263
434	3276	4256
435	3284	4248
436	3290	4239
437	3298	4232
438	3306	4224
439	3313	4217
440	3321	4210
441	3329	4203
442	3337	4196
443	3345	4189
444	3352	4181
445	3359	4173
446	3366	4164
447	3373	4157
448	3379	4147
449	3387	4140
450	3395	4132
451	3401	4124
452	3409	4117
453	3416	4109
454	3422	4099
455	3430	4091
456	3437	4084
457	3444	4075
458	3451	4068
459	3458	4059
460	3465	4052
461	3473	4044
462	3481	4037
463	3488	4030
464	3495	4021
465	3501	4012
466	3508	4004
467	3516	3997
468	3523	3989
469	3532	3982
470	3539	3975
471	3548	3969
472	3555	3961
473	3564	3955
474	3572	3948
475	3579	3939
476	3586	3932
477	3594	3925
478	3601	3917
479	3610	3911
480	3617	3903
481	3625	3896
482	3633	3889
483	3641	3882
484	3648	3874
485	3654	3865
486	3662	3858
487	3669	3849
488	3677	3843
489	3684	3834
490	3691	3826
491	3698	3819
492	3706	3811
493	3714	3804
494	3723	3798
495	3730	3791
496	3736	3781
497	3744	3774
498	3751	3766
499	3757	3757
500	3765	3750
501	3773	3742
502	3781	3736
503	3788	3728
504	3795	3720
505	3802	3712
506	3810	3705
507	3818	3697
508	3825	3690
509	3832	3682
510	3838	3673
511	3847	3667
512	3855	3660
513	3862	3652
514	3869	3644
515	3877	3636
516	3884	3629
517	3892	3621
518	3899	3613
519	3906	3605
520	3914	3598
521	3921	3591
522	3929	3583
523	3937	3576
524	3944	3568
525	3952	3561
526	3960	3554
527	3969	3548
528	3978	3542
529	3986	3535
530	3994	3528
531	4003	3521
532	4010	3514
533	4017	3506
534	4025	3498
535	4032	3491
536	4041	3484
537	4049	3477
538	4057	3470
539	4066	3463
540	4073	3456
541	4080	3448
542	4087	3440
543	4095	3432
544	4103	3425
545	4110	3418
546	4116	3409
547	4123	3401
548	4131	3393
