iter	MultiClass
284	1.128032986
285	1.126841518
286	1.125117155
287	1.123762219
288	1.122647921
289	1.122370161
290	1.121314635
291	1.120740157
292	1.119726211
293	1.118618126
294	1.116709964
295	1.115805332
296	1.114791237
297	1.11398122
298	1.113122838
299	1.1126102
300	1.111238521
301	1.110566347
302	1.109689572
303	1.10911787
304	1.108429334
305	1.107042632
306	1.106523855
307	1.105432736
308	1.10420747
309	1.102034888
310	1.100981333
311	1.099902348
312	1.099206173
313	1.098728319
314	1.097615105
315	1.097087044
316	1.095572201
317	1.093952795
318	1.092864698
319	1.092088361
320	1.091651663
321	1.090566365
322	1.089330525
323	1.088347268
324	1.087277639
325	1.086410436
326	1.085425624
327	1.085008392
328	1.083739157
329	1.082830448
330	1.082012373
331	1.079938528
332	1.078507453
333	1.077483692
334	1.076174302
335	1.075240686
336	1.07410701
337	1.073163382
338	1.072826882
339	1.071960537
340	1.07097856
341	1.070709129
342	1.069627514
343	1.068425244
344	1.067234904
345	1.066051726
346	1.065216984
347	1.063703779
348	1.062460307
349	1.061192841
350	1.060605592
351	1.058973272
352	1.058112866
353	1.057599594
354	1.056780559
355	1.056449431
356	1.05540624
357	1.054606943
358	1.053978592
359	1.053379353
360	1.052255121
361	1.051676193
362	1.051023782
363	1.049863581
364	1.048904828
365	1.047869887
366	1.047529951
367	1.046785901
368	1.046428576
369	1.045673823
370	1.044997854
371	1.043967387
372	1.042862917
373	1.04218855
374	1.041791139
375	1.040928222
376	1.040067752
377	1.039181538
378	1.038123558
379	1.037944102
380	1.037232081
381	1.036170893
382	1.035049789
383	1.033964892
384	1.032600194
385	1.031826151
386	1.030762712
387	1.029219206
388	1.028399661
389	1.027056046
390	1.025685451
391	1.02510605
392	1.023571327
393	1.022473001
394	1.021913756
395	1.021139941
396	1.020214707
397	1.01945998
398	1.019192119
399	1.018030354
400	1.017264054
401	1.017007433
402	1.016242214
403	1.01567359
404	1.014816764
405	1.013613524
406	1.013161497
407	1.0117739
408	1.010852484
409	1.010044281
410	1.009597418
411	1.009296356
412	1.008824378
413	1.008473041
414	1.00784313
415	1.007519941
416	1.005903818
417	1.00506641
418	1.003573466
419	1.002202129
420	1.001486905
421	1.00095224
422	1.000608455
423	1.000201833
424	0.9997904876
425	0.999317546
426	0.9986665732
427	0.9980261238
428	0.9972854025
429	0.996579461
430	0.9955874478
431	0.9948977397
432	0.9943122048
433	0.9938820768
434	0.9927021796
435	0.992002158
436	0.9911175791
437	0.9907945395
438	0.9900034639
439	0.9894389767
440	0.9874499849
441	0.9861613572
442	0.9849482873
443	0.9840059773
444	0.9831538359
445	0.9821915003
446	0.9810398166
447	0.9806094958
448	0.9802243913
449	0.9793601829
450	0.9785909395
451	0.9777155618
452	0.9771663575
453	0.9769248212
454	0.9763619189
455	0.9760289132
456	0.9758035696
457	0.9752849439
458	0.9748453984
459	0.974257092
460	0.9736323662
461	0.9732205305
462	0.9721049359
463	0.9705460131
464	0.9699739049
465	0.9693737565
466	0.967999097
467	0.9673641355
468	0.9659870321
469	0.9657402144
470	0.9653079522
471	0.9646218591
472	0.9635520432
473	0.9626372718
474	0.9619296729
475	0.9614404831
476	0.9610467137
477	0.9596811534
478	0.9577469033
479	0.9570371027
480	0.956121586
481	0.9546779617
482	0.9541844298
483	0.9532897248
484	0.952727684
485	0.9521697529
486	0.9515928986
487	0.9511002728
488	0.9508052561
489	0.9504354166
490	0.9494221675
491	0.9484449826
492	0.9479846703
493	0.947331842
494	0.9466554849
495	0.946112575
496	0.9451176247
497	0.9443484801
498	0.9438389515
499	0.9431443399
500	0.9427756478
501	0.9426081634
502	0.9416796665
503	0.9414974196
504	0.9412836739
505	0.9405937888
506	0.9398944874
507	0.9387609414
508	0.9381232587
509	0.9374959753
510	0.9372058026
511	0.9369077377
512	0.9352449754
513	0.9344749561
514	0.9332951219
515	0.9327680167
516	0.9317509267
517	0.930032045
518	0.929463412
519	0.9289441103
520	0.9287432115
521	0.9275787522
522	0.9268328515
523	0.9258859526
524	0.9250320211
525	0.924183241
526	0.9233711375
527	0.9220783751
528	0.9219446368
529	0.9213510763
530	0.9209365231
531	0.9198783407
532	0.9195217989
533	0.9190442412
534	0.9182920565
535	0.9173228786
536	0.9163389698
537	0.9155424104
538	0.9145620352
539	0.9134718351
540	0.9128182624
541	0.9122475701
542	0.9112761109
543	0.9100774161
544	0.9097742612
545	0.9091845643
546	0.9084925001
547	0.9077501248
548	0.9072228896
549	0.9058737239
550	0.9050364688
551	0.904414538
552	0.9034389809
553	0.9032158811
554	0.9022950119
555	0.9016089334
556	0.900960658
557	0.9002075281
558	0.8989596056
559	0.8985732488
560	0.8979641972
561	0.8975693605
562	0.8968645824
563	0.8962301079
564	0.895614438
565	0.8953114901
566	0.8950973009
567	0.8945698736
568	0.8939913044
569	0.8934298052
570	0.892496207
571	0.8918822218
572	0.891646852
573	0.8913224408
574	0.8907768445
575	0.8906959824
576	0.8897845781
577	0.8894145135
578	0.8886091734
579	0.8880707921
580	0.8875629244
581	0.8868703288
582	0.8863963802
583	0.8856488941
584	0.8848743529
585	0.8845042251
586	0.8841791154
587	0.8839636374
588	0.8829194556
589	0.8821848167
590	0.8817670038
591	0.8806261619
592	0.8803137038
593	0.8797743528
594	0.8790311631
595	0.8783452828
596	0.8776442874
597	0.8766138559
598	0.8757436452
599	0.87481535
600	0.8741526066
601	0.8736218171
602	0.873002413
603	0.8724947111
604	0.8722539301
605	0.8716281466
606	0.8708674529
607	0.8692133733
608	0.8687919474
609	0.8681886478
610	0.8676611177
611	0.8672884035
612	0.8668548936
613	0.8659644193
614	0.8655279183
615	0.8651146605
616	0.8644603594
617	0.863864381
618	0.862912383
619	0.8623294564
620	0.8616806529
621	0.8614278026
622	0.860916545
623	0.8607510603
624	0.860210902
625	0.8596144057
626	0.8584804738
627	0.8577341872
628	0.8574075328
629	0.8567969073
630	0.8563977787
631	0.8559544505
632	0.8552076334
633	0.8548189411
634	0.8542761049
635	0.8539050504
636	0.8536040689
637	0.8528853054
638	0.8522584462
639	0.8510505094
640	0.8504701409
641	0.8498598243
642	0.8493859927
643	0.8492655206
644	0.8482779009
645	0.8477029766
646	0.8471531041
647	0.8466585573
648	0.8458639066
649	0.8452168824
650	0.8450314975
651	0.844477885
652	0.8432984812
653	0.8425025665
654	0.8412091489
655	0.8409182251
656	0.8403909422
657	0.839990674
658	0.8392814339
659	0.8385247832
660	0.837781576
661	0.8372222851
662	0.836791443
663	0.8363549701
664	0.8360879286
665	0.8360025294
666	0.8353925949
667	0.835092523
668	0.8348563192
669	0.8346646286
670	0.8343775346
671	0.834005592
672	0.8333746754
673	0.8328475644
674	0.8323491795
675	0.8320571414
676	0.8312521031
677	0.8308210712
678	0.8305619511
679	0.8302764365
680	0.8295984396
681	0.8285844652
682	0.8281019435
683	0.8275311426
684	0.8261901743
685	0.8255185155
686	0.8251170225
687	0.8246833544
688	0.8243467691
689	0.8239558744
690	0.8236111472
691	0.8233988279
692	0.8229966696
693	0.822528193
694	0.821805305
695	0.8208881774
696	0.8204021876
697	0.8200362674
698	0.8198336183
699	0.8195515185
700	0.8192742343
701	0.818971451
702	0.8179509933
703	0.8175369013
704	0.8172830516
705	0.816677767
706	0.8155466632
707	0.815221918
708	0.8145241148
709	0.8140643386
710	0.8137049617
711	0.8130762307
712	0.8127216137
713	0.8120924155
714	0.8112276074
715	0.8108849276
716	0.8108547907
717	0.8101681645
718	0.8095432434
719	0.8088664122
720	0.8085062242
721	0.8080882713
722	0.807649841
723	0.8070248958
724	0.8063491121
725	0.8056258527
726	0.8051906455
727	0.8051043508
728	0.8041208648
729	0.803867592
730	0.8033902174
731	0.8025467973
732	0.8023111265
733	0.8016682764
734	0.8014132675
735	0.8011644773
736	0.8006473902
737	0.8002065809
738	0.7995822853
739	0.798916813
740	0.7983015927
741	0.79755382
742	0.796890807
743	0.7962647977
744	0.7959730184
745	0.7957634626
746	0.7952148856
747	0.7947555007
748	0.7943194325
749	0.7939189304
750	0.7936039342
751	0.7933067399
752	0.7926230882
753	0.7921259314
754	0.7909718081
755	0.7896882043
756	0.7892505903
757	0.7886505626
758	0.7879914872
759	0.7874594673
760	0.7871919691
761	0.7868052809
762	0.7863644438
763	0.7855825275
764	0.7845980834
765	0.7837205342
766	0.7835732809
767	0.7831862019
768	0.7824916346
769	0.7820495222
770	0.7814799135
771	0.7809467032
772	0.7807313738
773	0.780405974
774	0.780167213
775	0.7799409244
776	0.7789037368
777	0.7784988698
778	0.7779149041
779	0.7775654779
780	0.7769354489
781	0.7762678407
782	0.7754181477
783	0.7751947031
784	0.7743840714
785	0.7739378272
786	0.7734681785
787	0.7728885793
788	0.7721455926
789	0.7712047236
790	0.770905655
791	0.7703096425
792	0.7699846814
793	0.7693541774
794	0.7686216755
795	0.7682125253
796	0.7679766147
797	0.7674620424
798	0.7665918579
799	0.7660194307
800	0.7656681248
801	0.7649694176
802	0.7647669977
803	0.764367324
804	0.7637130541
805	0.7632646428
806	0.7628585784
807	0.762442984
808	0.761618743
809	0.7611456779
810	0.7609242905
811	0.760363114
812	0.7599247594
813	0.7595858044
814	0.7586295397
815	0.7581311012
816	0.7577330882
817	0.757389222
818	0.7565649777
819	0.7560876015
820	0.7556836322
821	0.7552863068
822	0.7548172975
823	0.7534410533
824	0.7529638968
825	0.7521671662
826	0.7517744654
827	0.7511385452
828	0.7504414596
829	0.7501398454
830	0.7496324434
831	0.7487785738
832	0.7484692309
833	0.7481597178
834	0.7478876698
835	0.7473089132
836	0.7471240584
837	0.7464752295
838	0.7453076291
839	0.7446377917
840	0.7440426952
841	0.7432198552
842	0.7424123311
843	0.7417623641
844	0.7416580338
845	0.741008895
846	0.740826392
847	0.7400001353
848	0.7393955647
849	0.7385112236
850	0.7380355951
851	0.7372288896
852	0.7368042048
853	0.7365247775
854	0.7354280361
855	0.7348726319
856	0.7345458518
857	0.7334890308
858	0.7331533092
859	0.7326861929
860	0.7323555634
861	0.7320456942
862	0.7319572601
863	0.7312160624
864	0.730430024
865	0.7294919099
866	0.7290094663
867	0.7285502759
868	0.7280218056
869	0.727476238
870	0.7273306021
871	0.7267557189
872	0.7263425492
873	0.7259581276
874	0.725152104
875	0.7245925883
876	0.7241533228
877	0.7239707571
878	0.7236133926
879	0.7233536958
880	0.7231891884
881	0.7229409122
882	0.7226627929
883	0.7223788453
884	0.7219542446
885	0.7215100259
886	0.7206549119
887	0.7202474311
888	0.7196689175
889	0.7192657736
890	0.7190030333
891	0.7183905887
892	0.7177487424
893	0.7175043943
894	0.7171209112
895	0.7166339203
896	0.7159056425
897	0.7155000414
898	0.7150449307
899	0.714384984
900	0.7138271234
901	0.7132324079
902	0.7122515552
903	0.711740133
904	0.7114050681
905	0.71114037
906	0.7109589079
907	0.7104534905
908	0.7093457588
909	0.7090944032
910	0.708140315
911	0.7074901045
912	0.707116372
913	0.7065781279
914	0.7059620205
915	0.7058751944
916	0.7054585293
917	0.7048724223
918	0.704189714
919	0.7033574231
920	0.7027612425
921	0.7023933368
922	0.701965153
923	0.7014587336
924	0.7008173148
925	0.7005062052
926	0.7002310411
927	0.6998824447
928	0.6994933942
929	0.6992525503
930	0.6989185067
931	0.6983361923
932	0.6982357258
933	0.6976140009
934	0.696686265
935	0.6962955431
936	0.6955084656
937	0.6952032784
938	0.6949883061
939	0.6945924177
940	0.6936346018
941	0.6931717084
942	0.693070157
943	0.6927799342
944	0.6924593997
945	0.6918103804
946	0.6913259731
947	0.690989783
948	0.6904775302
949	0.6901903957
950	0.689823768
951	0.6895509824
952	0.6891119029
953	0.6888381215
954	0.6886979597
955	0.6883492608
956	0.6880505915
957	0.6877722565
958	0.6876548201
959	0.6865471674
960	0.6855968143
961	0.6852988529
962	0.6849373943
963	0.6842775895
964	0.68392158
965	0.6828122465
966	0.6816356061
967	0.6812263716
968	0.6807197964
969	0.6805258847
970	0.6800102417
971	0.679123289
972	0.6785315153
973	0.6782895187
974	0.677983437
975	0.6776381341
976	0.6772910219
977	0.6768320343
978	0.6767292232
979	0.6764527576
980	0.6762601866
981	0.6759575196
982	0.6756282357
983	0.6751355473
984	0.6741148795
985	0.6736619589
986	0.6731025391
987	0.672839293
988	0.6725095545
989	0.6719083442
990	0.6713436506
991	0.6710209413
992	0.6706428374
993	0.6696972705
994	0.6694577854
995	0.66922888
996	0.6690587216
997	0.6687701356
998	0.6683575576
999	0.6680980104
